Bolagsnamn,Land,Lista,Bransch,Ticker,ISIN,Börsvärde,Aktiekurs,Utveck.  1d,Utveck.  1v,Utveck.  1m,Utveck.  3m,Utveck.  6m,Utveck.  1 år,Utveck.  3 år,Utveck.  5 år,P/E,P/E avg - 1 år,P/E avg - 3 år,P/S,P/S avg - 1 år,P/S - avg 3 år,P/FCF,P/FCF avg - 1 år,P/FCF avg - 3 år,MA(5)/MA(20),MA(20)/MA(70),MA(50)/MA(200),N. Rapport Datum,N. Rapport Dagar,Graham_Score
A City Media,Sverige,First North,Media,ACM,SE0001920760,211.7693,144.75,-0.01362862,-0.003442341,0.05272727,-0.1200608,0.3851675,0.06629834,,,23.18745,17.46056,12.01994,2.260584,1.717731,1.187193,45.54177,305.5922,12.26582,0.04852974,-0.03244233,0.104423,,,
A.P. Moller Maersk B,Denmark,Large Cap,Handel & Distribution,MAERSK B,DK0010244508,256731.8,12350,-0.01984127,0.05285592,0.03174603,0.03174603,0.3768116,0.3868613,-0.06439394,0.631871,-20.10598,-18.39728,4.831367,1.058858,0.8869173,0.9555342,19.88042,89.47972,22.1575,0.04837275,0.004622221,0.08840728,11/05/2017,,3
A1M Pharma,Sverige,Aktietorget,Sjukvård,A1M,SE0005876828,36.31897,0.665,0.01526725,-0.1363636,-0.2771739,-0.4217391,-0.7044444,-0.8202702,-0.8518931,,-0.6974305,-11.18233,-13.51474,,65.87145,16.58235,-0.6970076,-8.132544,-6.682331,-0.1625,-0.2844822,-0.4430144,,,1
Aalborg Boldspilklub,Denmark,Small Cap,"Hotell, restaurang & nöje",AAB,DK0010247014,,0.325,0,-0.01215808,0.07260721,0.07260721,0.3319672,0.1524822,-0.6491796,0.5776699,,,,,,,,,,0.04770994,0.05246031,0.1049796,,,2
Aarhus Elite,Denmark,Small Cap,"Hotell, restaurang & nöje",ELITE B,DK0010263722,,0.2,0.03092782,0.03626943,0.02564108,-0.1416309,-0.1666666,-0.2857143,-0.4673768,-0.7603068,,,,,,,,,,0.01110256,-0.06584662,-0.1486786,,,2
AarhusKarlshamn,Sverige,Large Cap,Livsmedel,AAK,SE0001493776,26789.45,633.5,-0.003147128,-0.003147128,0.0549542,0.07372881,0.1466063,0.02259887,0.4332579,1.766376,25.70971,25.23134,24.66054,1.121695,1.141805,1.107561,-47.8383,-27.08749,-44.34939,0.000552058,0.04547381,0.01107109,20/04/2017,,5
ABB,Sverige,Large Cap,Produktion,ABB,CH0012221716,464166,216.9,-0.01677249,-0.008230466,0.05036317,0.07217,0.1238342,0.2834319,0.3966516,0.8412563,24.57651,22.39535,22.80277,1.581934,1.246827,1.344121,10.89081,13.60949,13.9779,0.01197457,0.03672838,0.05765152,20/04/2017,,3
Absolent,Sverige,First North,Byggprodukter,ABSO,SE0006256558,1497.202,132.25,-0.03467153,-0.0130597,0.03320313,0.058,0.0952381,-0.1734375,,,23.42491,30.27976,37.1674,3.638817,4.041355,4.068283,41.17605,19.81601,329.5585,0.003763676,0.04945695,0.03739393,,,1
Absolicon,Sverige,Aktietorget,Energiproducenter,ABSL,SE0007387022,277.984,292,0.0245614,0.1656687,0.09981168,0.7176471,2.65,,,,-42.48632,-42.48632,,57.26906,57.26906,,-30.16319,-30.16319,,0.09007656,0.05387068,0.8829176,,,3
AcadeMedia,Sverige,Mid Cap,Konsument,ACAD,SE0007897079,5269.6,56,-0.03862661,0.009009009,0,-0.05084746,-0.01754386,,,,13.10861,15.43041,10.39215,0.5674168,0.6320263,0.4122499,19.58959,28.26795,18.8453,-0.03288198,0.01328397,-0.008862138,10/05/2017,,3
Acando,Sverige,Mid Cap,IT-Tjänster,ACAN B,SE0000105116,3209.388,31.2,-0.02499998,0.01960786,-0.01577287,-0.05167175,0.3,0.8682634,1.189474,1.302583,15.28288,12.03574,12.94474,1.392964,1.002837,1.026538,21.98211,20.08033,17.67478,-0.008787334,-0.006057143,0.1877712,04/05/2017,,3
Acarix,Sverige,First North,Sjukvård,ACARIX,SE0009268717,,20.5,0.00490198,0.07894737,0.0406091,-0.004854387,,,,,,,,,,,,,,-0.00224036,-0.01135647,-0.02126765,,,2
Acosense,Sverige,Aktietorget,Tjänster & Leverans,ACOS,SE0009580079,,8.8,0.05389219,0.09316769,0.05389219,,,,,,,,,,,,,,,0.08527136,-0.06829125,,,,2
AcouSort,Sverige,Aktietorget,Bioteknik,ACOU,SE0009189608,50.7104,9.2,0.03954796,0.05747126,-0.1238095,-0.1238095,,,,,-182.5397,-182.5397,,32.19708,32.19708,,,,,-0.05161297,-0.06155396,0.0207113,,,2
Actic Group,Sverige,Small Cap,Konsument,ATIC,SE0009269467,513.785,48.7,-0.02012072,-0.02404811,-0.03564355,,,,,,-129.7283,-32.43207,-43.24276,0.6190636,0.1547659,0.2063545,-6.465063,-2.155021,-2.155021,-0.005206227,-0.003267288,,,,1
Active Biotech,Sverige,Small Cap,Bioteknik,ACTI,SE0001137985,437.6445,4.52,-0.06418218,-0.1307692,-0.7773399,-0.6233333,-0.5632851,-0.5502487,-0.8723164,-0.8849872,-7.468606,-12.40374,-11.44701,22.10326,51.09535,62.55382,-6.979976,-10.83873,-9.848468,-0.6147152,-0.1564898,0.2468092,27/04/2017,,1
AcuCort,Sverige,Aktietorget,Läkemedel,ACUC,SE0009695927,,3.89,0.1114286,0.04851754,,,,,,,,,,,,,,,,-0.08407343,,,,,2
AdderaCare,Sverige,First North,Sjukvård,ADDERA,SE0009160922,198.45,16.2,0,0.05882357,0.09459463,0.05194813,,,,,33.29908,33.29908,,2.115807,2.115807,,-19.2222,-19.2222,,0.07619691,0.008745551,-0.02957016,16/05/2017,,2
AddLife,Sverige,Mid Cap,Bioteknik,ALIF B,SE0007982814,4108.05,179,0.01129944,-0.02452316,0.1049383,0.09146342,0.3664122,0.6384439,,,36.74508,36.74508,,2.119409,2.119409,,-63.10369,-63.10369,,0.04014862,0.03596807,0.1466284,28/04/2017,,2
Addnode,Sverige,Mid Cap,IT-Tjänster,ANOD B,SE0000472268,2424.4,79.75,0.009493671,0.03571428,0.1312057,0.1433692,0.3991228,0.5637255,0.6824894,1.531746,25.07152,20.78456,21.21691,1.065717,0.8643609,0.9108829,62.80829,56.34679,66.65971,0.02653694,0.07926297,0.125276,27/04/2017,,2
Addtech,Sverige,Mid Cap,Handel & Distribution,ADDT B,SE0005568136,10658.43,159.5,-0.00931677,-0.06176471,0.04590164,0.06333333,0.296748,0.4304933,0.529976,1.593521,24.22392,12.26998,16.49622,1.484874,1.084047,1.342019,-236.854,131.9885,-44.95996,-0.002916396,0.06795776,0.09227122,11/05/2017,,5
ADDvise Group A,Sverige,First North,Sjukvård,ADDV A,SE0001306119,114.0443,3.65,0,-0.1183574,-0.02406415,0.6590909,0.6150443,0.8527919,0,0.46,20.62147,58.8354,83.76575,0.5036756,0.4705787,0.4328139,-2.639119,-1.901948,,0.01152503,0.3503438,0.2274042,11/05/2017,,
Advanced Stabilized Tech,Sverige,NGM,Kommunikation,ASTG MTF,SE0005676277,55.25454,0.199,-0.02450978,-0.2841727,-0.5074258,-0.6683334,-0.7658823,-0.8122642,-0.801,,-7.803922,-36.04942,-4.803731,2.695343,11.31954,4.830041,-2.790633,-9.028249,-5.281001,-0.2950311,-0.2855331,-0.444568,,,
Advenica,Sverige,First North,Kommunikation,ADVE,SE0006219473,184.398,14.6,-0.0135135,-0.051948,-0.1461988,-0.317757,-0.08749998,-0.1797752,,,-7.405904,-14.83855,-33.92445,3.927624,4.524821,4.190876,-28.90704,-25.1344,-39.20891,-0.08447207,-0.1284847,-0.04385221,25/04/2017,,
Aerowash,Sverige,Aktietorget,Tjänster & Leverans,AERW B,SE0009346299,,9,-0.005524883,-0.1,-0.04255315,-0.375,,,,,,,,,,,,,,-0.04194146,-0.09222156,-0.05615944,,,2
AF Gruppen,Norge,OB Match,Byggnation,AFG,NO0003078107,14689.78,158.5,0,0,0.0192926,0,0.07823129,0.2286822,1.202239,2.155133,22.63477,18.56697,18.67709,1.241635,1.069999,1.051994,14.50126,13.75618,12.45207,0.01453447,-0.002707899,0.006982684,12/05/2017,,4
Afarak,Finland,Small Cap,Gruv & Metall,AFAGR,FI0009800098,261.7248,0.995,0.04188484,-0.1116071,0.2594936,-0.01485147,1.240991,1.335681,1.67545,0.4751668,-284.2857,174.8441,-80.92436,1.685557,0.8074679,0.9340842,38.06906,-374.6963,12.66488,0.009698868,0.09188628,0.3204757,,,2
Affecto,Finland,Small Cap,IT-Tjänster,AFE1V,FI0009013312,77.94712,3.61,0.01690139,0.1953642,0.2405498,0.2405498,0.3571428,0.2622378,0.2237287,0.3470148,16.51418,34.69218,-7.272105,0.6907021,0.6040812,0.6480298,21.66401,10.6282,13.38158,0.11932,0.02059007,0.04917693,11/05/2017,,2
Africa Oil,Sverige,Mid Cap,Olja & Gas,AOI,CA00829Q1019,6620.149,14.5,0.04996376,0.07566769,-0.01761519,-0.1435322,0.1009871,0.09682298,-0.7184466,-0.7264151,38.89485,15.49665,23.48853,,,,-18.46356,-3.020745,-6.259913,0.01233852,-0.09304267,-0.03584528,11/05/2017,,3
African Petroleum,Norge,Oslo Axess,Olja & Gas,APCL,AU000000AOQ0,549.0466,5.15,0,-0.3397436,-0.35625,0.6885246,1.384259,0.694079,,,143.8548,31.36422,45.14236,873.027,311.7897,333.999,-26.38493,2.789841,-11.26785,-0.3036516,0.4924088,0.8014712,,,
Ages Industri,Sverige,First North,Produktion,AGES B,SE0005799046,943.671,139,-0.008912656,0.06923077,0.09019607,0.4670185,0.5401662,0.2694064,,,19.82514,19.86915,17.21569,1.166466,0.998795,1.023989,21.44707,12.93497,17.91805,0.03202784,0.1237109,0.20711,04/05/2017,,
Agromino,Sverige,Small Cap,Livsmedel,AGRO,DK0060083566,354.3132,0.205,0.004901971,0.05128208,0.1647727,0.2202381,0.05670099,-0.2264151,-0.8891892,-0.9726667,-1.485507,-0.6737647,-1.197275,0.934788,0.3685394,0.5489165,2.170517,2.370665,5.088573,0.03573275,0.09573614,-0.1319108,,,2
AHA World,Sverige,Aktietorget,Betting & Spel,AHA,SE0005962362,26.3655,2.1,0.04999995,-0.216418,-0.295302,-0.5161291,-0.6440678,-0.6612903,,,-2.474373,-10.15359,-10.29147,1.34367,3.831185,3.75343,-2.133649,-7.859488,-9.508387,-0.1625282,-0.1571461,-0.3466077,12/05/2017,,
Ahlsell,Sverige,Large Cap,Tjänster & Leverans,AHSL,SE0009155005,19646.51,58,-0.04683646,-0.02356905,-0.03333333,-0.002579562,0.1143132,,,,57.44849,14.36212,19.1495,0.798444,0.199611,0.266148,27.43927,6.859817,9.146422,-0.003962457,0.01924622,0.05801713,28/04/2017,,1
Ahlstrom-Munksjö,Sverige,Large Cap,Produktion,AM1S,FI4000048418,8807.033,173.5,-0.02308562,0.0134346,0.2609011,0.2090592,0.1762712,0.8961748,,,19.6712,15.28015,19.03403,0.7937708,0.5439972,0.5961391,10.72771,8.334453,17.22748,0.06536233,0.111834,0.09281195,26/04/2017,,1
Ahlstrom-Munksjö Oyj,Finland,Large Cap,Produktion,AM1,FI4000048418,908.6219,17.9,-0.01810203,0.01878201,0.2596762,0.1737705,0.1933333,0.79,1.75499,,19.37439,15.17048,18.60833,0.7854615,0.538886,0.5840908,10.46799,8.250919,16.80748,0.06307471,0.103606,0.09400177,,,
Ahola Transport,Finland,First North,Handel & Distribution,AHOLA,FI4000127535,10.52575,0.71,-0.01388896,-0.02739732,-0.1125,-0.0469799,-0.1445783,-0.3173077,,,191.8919,91.35227,87.64657,0.109405,0.4836204,0.2351818,20.67927,69.12593,15.10442,-0.06740475,-0.01714516,-0.03188848,15/05/2017,,1
AIK Fotboll,Sverige,NGM,"Hotell, restaurang & nöje",AIK B,SE0000598278,43.678,2,0.05263159,-0.047619,-0.047619,-0.05213265,-0.1416309,0.3333333,0.5384616,0.1299435,0.756945,-3.269808,-3.57543,0.1986212,0.2351654,0.247983,2.414216,1.921417,-6.467155,-0.04081636,-0.01234055,0.006605148,09/05/2017,,2
Aino Health,Sverige,First North,Sjukvård,AINO,SE0009242555,,16.1,0.01898735,-0.03012048,-0.0693641,-0.2107843,,,,,,,,,,,,,,-0.03871268,-0.09473038,-0.1290254,12/05/2017,,2
Aker BP,Norge,OBX,Olja & Gas,DETNOR,NO0010345853,50795.64,150.4,0,0.03795721,0.03795721,-0.01117694,0.1613899,1.064516,1.766221,1.160885,80.53979,29.67435,51.09495,3.232463,2.159953,2.022247,14.73534,2.97792,8.837258,0.03026521,-0.01042706,0.03351116,28/04/2017,,1
Aker Solutions,Norge,OBX,Olja & Gas,AKSO,NO0010716582,12712.62,46.73,0,0.02635626,-0.06540001,0,0.2663956,0.5840678,,,223.0549,54.62407,87.35699,0.4974221,0.3722691,0.4213385,-14.54533,-2.799949,4.474856,-0.02650988,-0.03623247,0.160178,09/05/2017,,1
AKVA Group,Norge,OB Match,Livsmedel,AKVA,NO0003097503,1808.38,70,0,0.02189781,0.1290323,-0.07894737,-0.1277259,0.1666667,3.545455,5.363636,51.86722,42.47423,43.81477,1.051037,0.9594259,0.9279825,-11.46918,-28.15449,-32.8504,0.0337162,-0.05995626,-0.06983948,11/05/2017,,
Alcadon Group,Sverige,First North,Kommunikation,ALCA,SE0008732218,637.728,39,-0.02010048,-0.01515148,0.05691053,0.1142857,0.5,,,,24.81548,21.64352,14.42901,1.859265,1.654977,1.103318,-69.31826,-20.68155,-13.7877,-0.01732367,0.09307253,0.180752,25/04/2017,,
Alelion Energy,Sverige,First North,Produktion,ALELIO,SE0008348072,427.3205,10.35,-0.009569324,0.009756135,0.118919,-0.07999997,-0.215909,,,,-23.30556,-11.65278,-7.76852,8.474041,4.23702,2.82468,-12.74328,-6.371641,-4.24776,0.04714644,-0.01266974,-0.1091971,08/05/2017,,1
