"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Aktiekurs";"Börsvärde";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"P/E";"P/E";"P/E";"P/S";"P/S";"P/S";"P/FCF";"P/FCF";"P/FCF";"Medelvärde";"Medelvärde";"Medelvärde";"Info";"N. Rapport";"Graham"
"";"Land";"Lista";"Bransch";"Ticker";"ISIN";"Senaste";"Senaste";"Utveck.  1d";"Utveck.  1v";"Utveck.  1m";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"Utveck.  3 år";"Utveck.  5 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"MA(5)/MA(20)";"MA(20)/MA(70)";"MA(50)/MA(200)";"N. Rapport";"Antal dagar";"Poäng"
"A City Media";"Sverige";"First North";"Media";"ACM";"SE0001920760";148.25;216.8898;0.0385289;0.02241379;0.07622505;-0.0987842;0.4152745;0.06654677;"";"";23.74812;17.57269;12.20682;2.315244;1.728663;1.205413;46.64296;305.8124;12.63288;0.04545856;-0.02308667;0.1006658;"";"";""
"A.P. Moller Maersk B";"Denmark";"Large Cap";"Handel & Distribution";"MAERSK B";"DK0010244508";12300;255692.4;-0.003241491;0.009852217;0.06034483;0.02756892;0.3621262;0.4236111;-0.0625;0.6252643;-20.02458;-18.37693;4.858501;1.054572;0.8858456;0.9541051;19.79993;89.4596;22.13067;0.04642558;0.008665085;0.08732594;"2017-05-11";"";3
"A1M Pharma";"Sverige";"Aktietorget";"Sjukvård";"A1M";"SE0005876828";11.45;625.3417;16.89063;15.12676;12.31395;8.956522;4.066372;2.198324;1.544444;"";-12.00839;-12.5962;-17.28506;"";65.87145;16.58235;-12.00111;-9.545556;-10.45036;1.13973;0.04575956;-0.36044;"";"";""
"Aalborg Boldspilklub";"Denmark";"Small Cap";"Hotell, restaurang & nöje";"AAB";"DK0010247014";0.327;"";0.0283019;-0.02388064;0.06514651;0.07920788;0.308;0.1678571;-0.5905334;0.5873786;"";"";"";"";"";"";"";"";"";0.02593303;0.05254638;0.1067086;"";"";2
"Aarhus Elite";"Denmark";"Small Cap";"Hotell, restaurang & nöje";"ELITE B";"DK0010263722";0.225;"";0.02272725;0.1538462;0.2162162;-0.03433477;-0.07786889;-0.1727942;-0.4382023;-0.7303451;"";"";"";"";"";"";"";"";"";0.04974616;-0.04811215;-0.1442986;"";"";2
"AarhusKarlshamn";"Sverige";"Large Cap";"Livsmedel";"AAK";"SE0001493776";622.5;26324.28;0.004842615;-0.01968504;0.02892562;0.05508474;0.1037234;0.02977668;0.4080524;1.772829;25.26329;25.11973;24.51173;1.102218;1.136935;1.101069;-47.00764;-26.87983;-44.07251;-0.007704139;0.04134786;0.01240551;"2017-04-20";"";5
"ABB";"Sverige";"Large Cap";"Produktion";"ABB";"CH0012221716";217.9;466306;0.009263548;-0.001374899;0.08624122;0.07711315;0.1366719;0.293943;0.4003855;0.883319;24.68982;22.42368;22.84054;1.589228;1.24865;1.346552;10.94102;13.62204;13.99464;0.004910707;0.03967631;0.05858326;"2017-04-20";"";3
"Absolent";"Sverige";"First North";"Byggprodukter";"ABSO";"SE0006256558";139;1573.619;0.0530303;0.1031746;0.0859375;0.112;0.1729958;-0.07333334;"";"";24.62051;30.42921;37.56593;3.824541;4.06457;4.130191;43.27766;20.0787;330.259;0.007662177;0.05399847;0.04138064;"";"";1
"Absolicon";"Sverige";"Aktietorget";"Energiproducenter";"ABSL";"SE0007387022";289;275.128;0.05860806;0.1267057;0.1536926;0.7;2.658228;"";"";"";-42.04982;-42.04982;"";56.68068;56.68068;"";-29.8533;-29.8533;"";0.1238694;0.05309546;0.8810607;"";"";3
"AcadeMedia";"Sverige";"Mid Cap";"Konsument";"ACAD";"SE0007897079";57.5;5410.75;0.01321586;0.03603604;0.02222222;-0.02542373;0.00877193;"";"";"";13.45974;15.51819;10.50919;0.5826155;0.6358259;0.4173161;20.11431;28.53032;19.02021;-0.02275652;0.01532042;-0.009061277;"2017-05-10";"";3
"Acando";"Sverige";"Mid Cap";"IT-Tjänster";"ACAN B";"SE0000105116";30.2;3106.523;-0.00330028;-0.01307188;-0.00983604;-0.08206689;0.2689076;0.8192771;1.119298;1.20438;14.79304;11.91328;12.78146;1.348317;0.991675;1.011656;21.27756;19.90419;17.43993;-0.01150155;-0.005401969;0.1790303;"2017-05-04";"";3
"Acarix";"Sverige";"First North";"Sjukvård";"ACARIX";"SE0009268717";19.6;"";-0.01010095;0.01030932;-0.01999998;-0.04854369;"";"";"";"";"";"";"";"";"";"";"";"";"";0.004989982;-0.014126;-0.02352226;"";"";2
"Acosense";"Sverige";"Aktietorget";"Tjänster & Leverans";"ACOS";"SE0009580079";8.45;"";-0.01744193;0;-0.005882375;"";"";"";"";"";"";"";"";"";"";"";"";"";"";0.09500813;-0.06672031;"";"";"";2
"AcouSort";"Sverige";"Aktietorget";"Bioteknik";"ACOU";"SE0009189608";8.5;46.852;-0.017341;-0.05027931;-0.1584159;-0.1904762;"";"";"";"";-168.6508;-168.6508;"";29.7473;29.7473;"";"";"";"";-0.0471518;-0.06864673;0.01466548;"";"";2
"Actic Group";"Sverige";"Small Cap";"Konsument";"ATIC";"SE0009269467";51.5;543.325;-0.004830918;0.01980198;0.01980198;"";"";"";"";"";-137.187;-34.29675;-45.729;0.6546565;0.1636641;0.2182188;-6.836771;-2.278924;-2.278924;0.004047751;-0.003607392;"";"";"";1
"Active Biotech";"Sverige";"Small Cap";"Bioteknik";"ACTI";"SE0001137985";5.15;498.6436;0.1495536;0.01980196;-0.7122905;-0.5708333;-0.5;-0.4771574;-0.8600543;-0.8737745;-8.509583;-12.66398;-11.794;25.18402;51.86554;63.58075;-7.952848;-11.08194;-10.17276;-0.579633;-0.2300495;0.2184359;"2017-04-27";"";1
"AcuCort";"Sverige";"Aktietorget";"Läkemedel";"ACUC";"SE0009695927";3.78;"";0.0216216;0.05000002;"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";-0.06974947;"";"";"";"";2
"AdderaCare";"Sverige";"First North";"Sjukvård";"ADDERA";"SE0009160922";15.8;193.55;-0.01249999;0;-0.006289272;0.02597406;"";"";"";"";32.47688;32.47688;"";2.063565;2.063565;"";-18.74758;-18.74758;"";0.08319294;0.008002758;-0.02806419;"2017-05-16";"";2
"AddLife";"Sverige";"Mid Cap";"Bioteknik";"ALIF B";"SE0007982814";183;4199.85;0.01949861;-0.01081081;0.1331269;0.1158537;0.3889943;0.7596154;"";"";37.5662;37.5662;"";2.16677;2.16677;"";-64.51382;-64.51382;"";0.01889992;0.04484212;0.1454673;"2017-04-28";"";2
"Addnode";"Sverige";"Mid Cap";"IT-Tjänster";"ANOD B";"SE0000472268";74;2249.6;-0.05128205;-0.03267974;0.06859206;0.0609319;0.2925764;0.4653465;0.6086956;1.418301;23.26386;20.33264;20.61436;0.9888786;0.8451512;0.8852699;58.27979;55.21467;65.15021;0.01587307;0.08022726;0.1266764;"2017-04-27";"";2
"Addtech";"Sverige";"Mid Cap";"Handel & Distribution";"ADDT B";"SE0005568136";163.5;10925.72;0.01869159;-0.003048781;0.03154574;0.09;0.3292683;0.5209302;0.549763;1.69508;24.83142;12.34592;16.69872;1.522113;1.088702;1.354432;-242.7939;131.246;-46.93993;-0.01392496;0.06923306;0.09482956;"2017-05-11";"";5
"ADDvise Group A";"Sverige";"First North";"Sjukvård";"ADDV A";"SE0001306119";3.53;110.2949;0;-0.09020622;0.1461039;0.6045454;0.5619469;0.8385417;-0.03287674;0.4708332;19.9435;58.66591;83.53977;0.4871164;0.4664389;0.4272942;-2.552353;-1.880256;"";-0.04095113;0.348346;0.2416937;"2017-05-11";"";""
"Advanced Stabilized Tech";"Sverige";"NGM";"Kommunikation";"ASTG MTF";"SE0005676277";0.2;55.5322;0.0582011;-0.1836735;-0.5085995;-0.6666666;-0.7484276;-0.8275862;-0.7916666;"";-7.843137;-36.05432;-4.816803;2.708888;11.32123;4.834556;-2.804657;-9.031754;-5.285675;-0.3126253;-0.3175957;-0.4545506;"";"";""
"Advenica";"Sverige";"First North";"Kommunikation";"ADVE";"SE0006219473";14.95;188.8185;0.03103447;0.0170068;-0.1358381;-0.3014019;-0.05379749;-0.1740332;"";"";-7.583443;-14.88294;-33.98363;4.021779;4.54836;4.222261;-29.60002;-25.30764;-39.43991;-0.06689864;-0.1295429;-0.05477047;"2017-04-25";"";""
"Aerowash";"Sverige";"Aktietorget";"Tjänster & Leverans";"AERW B";"SE0009346299";9.05;"";0.05847953;-0.02688172;0;-0.3715278;"";"";"";"";"";"";"";"";"";"";"";"";"";-0.05446858;-0.0899083;-0.05968422;"";"";2
"AF Gruppen";"Norge";"OB Match";"Byggnation";"AFG";"NO0003078107";155;14365.4;-0.009584664;-0.03726708;0;-0.02208202;0.05084746;0.1877395;1.153609;2.085461;22.13495;18.44202;18.51048;1.214217;1.063145;1.042855;14.18105;13.67613;12.34533;0.004309654;-0.002161503;0.006033897;"2017-05-12";"";4
"Afarak";"Finland";"Small Cap";"Gruv & Metall";"AFAGR";"FI0009800098";0.98;257.7792;-0.005076137;0.02083337;0.2894737;-0.02970294;1.207207;1.390244;1.635117;0.49231;-280;175.3798;-79.4958;1.660146;0.8042916;0.9256141;37.49516;-374.768;12.47358;-0.03151572;0.1128519;0.3163406;"";"";2
"Affecto";"Finland";"Small Cap";"IT-Tjänster";"AFE1V";"FI0009013312";3.56;76.86752;0.02005729;0.05637984;0.2275862;0.2233676;0.3383458;0.2714286;0.2067796;0.3692308;16.28545;34.66359;-7.348347;0.6811357;0.6028854;0.644841;21.36396;10.59069;13.28157;0.136633;0.03561783;0.05479431;"2017-05-11";"";2
"Africa Oil";"Sverige";"Mid Cap";"Olja & Gas";"AOI";"CA00829Q1019";14.56;6647.542;0.03703707;0.08819136;0.02032235;-0.1399882;0.12;0.1509882;-0.7131034;-0.6947589;39.05579;15.53689;23.54218;"";"";"";-18.53996;-3.039845;-6.28538;0.03212655;-0.08506192;-0.0411011;"2017-05-11";"";3
"African Petroleum";"Norge";"Oslo Axess";"Olja & Gas";"APCL";"AU000000AOQ0";5;533.055;-0.01960783;-0.2795389;-0.4266055;0.6393443;1.347418;0.6891891;"";"";139.6648;30.31673;43.74571;847.599;305.4327;325.523;-25.61644;2.981964;-11.01169;-0.3778456;0.4111267;0.8108748;"";"";""
"Ages Industri";"Sverige";"First North";"Produktion";"AGES B";"SE0005799046";140;950.46;0.01083033;0.02752294;0.08108108;0.4775726;0.5555556;0.2556054;0;"";19.96777;19.90481;17.26323;1.174858;1.000893;1.026786;21.60136;12.97355;17.96948;0.03582394;0.1224523;0.2155159;"2017-05-04";"";""
"Agromino";"Sverige";"Small Cap";"Livsmedel";"AGRO";"DK0060083566";20.9;36122.66;103.5;105.6327;117.0791;123.4048;109.582;85.72199;10.61111;1.786667;-151.4493;-19.41924;-51.1852;95.30278;12.16454;32.00491;221.2868;29.7602;78.12734;2.528465;1.602082;0.9193165;"";"";2
"AHA World";"Sverige";"Aktietorget";"Betting & Spel";"AHA";"SE0005962362";2.03;25.48665;-0.01932365;-0.09777778;-0.2951389;-0.5322581;-0.6672131;-0.6725807;"";"";-2.391893;-10.13297;-10.26397;1.298881;3.819988;3.738501;-2.062527;-7.841707;-9.484679;-0.1965779;-0.1706367;-0.3504938;"2017-05-12";"";""
