ISIN,CompanyName,Ticker,Country,List,Industry,MarketCap,Price. Latest,Return. Act_1d,Return. Act_1w,Return. Act_1m,Return. Act_3m,Return. Act_6m,Return. Act_1y,Return. Act_3y,Return. Act_5y,P/E. Latest,P/E. Avg_1y,P/E. Avg_3y,P/S. Latest,P/S. Avg_1y,P/S. Avg_3y,P/FCF. Latest,P/FCF. Avg_1y,P/FCF. Avg_3y,TA. MA5/MA20,TA. MA20/MA70,TA. MA50/MA200,Strat. Graham,ReportDateNext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0001920760,A City Media,ACM,Sverige,First North,Media                                                           ,216.889801,148.25,0.038528897,0.022413792,0.07622505,-0.098784201,0.415274471,0.066546768,,,23.74811935,17.57268906,12.20681953,2.315243959,1.728662968,1.205412984,46.64295959,305.8124084,12.63288021,0.045458555,-0.023086667,0.100665808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK0010244508,A.P. Moller Maersk B,MAERSK B,Denmark,Large Cap,Handel & Distribution                                           ,255692.4063,12300,-0.003241491,0.009852217,0.06034483,0.027568921,0.362126231,0.423611104,-0.0625,0.625264287,-20.02458,-18.37693024,4.858500957,1.054571986,0.885845602,0.954105079,19.79993057,89.45960236,22.13067055,0.046425581,0.008665085,0.087325938,3,2017-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0005876828,A1M Pharma,A1M,Sverige,Aktietorget,Sjukvård                                                        ,625.3416748,11.44999981,16.890625,15.12676048,12.31395245,8.956521988,4.066371918,2.198323965,1.544444442,,-12.00839043,-12.59619999,-17.28506088,,65.87145233,16.58234978,-12.00111008,-9.545556068,-10.4503603,1.139729738,0.045759559,-0.360439956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK0010247014,Aalborg Boldspilklub,AAB,Denmark,Small Cap,"Hotell, restaurang & nöje                                       ",,0.326999992,0.0283019,-0.023880644,0.065146513,0.079207882,0.307999969,0.167857111,-0.590533435,0.587378621,,,,,,,,,,0.025933027,0.052546382,0.106708638,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK0010263722,Aarhus Elite,ELITE B,Denmark,Small Cap,"Hotell, restaurang & nöje                                       ",,0.224999994,0.022727251,0.153846174,0.216216162,-0.034334768,-0.077868886,-0.172794193,-0.438202262,-0.73034513,,,,,,,,,,0.049746156,-0.048112154,-0.144298613,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0001493776,AarhusKarlshamn,AAK,Sverige,Large Cap,Livsmedel                                                       ,26324.2793,622.5,0.004842615,-0.019685039,0.02892562,0.055084743,0.103723399,0.029776676,0.408052444,1.772828579,25.26329041,25.11973,24.51173019,1.102218032,1.136934996,1.101068974,-47.00764084,-26.87982941,-44.07250977,-0.007704139,0.041347861,0.012405515,5,2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CH0012221716,ABB,ABB,Sverige,Large Cap,Produktion                                                      ,466306,217.8999939,0.009263548,-0.001374899,0.086241215,0.077113152,0.136671871,0.293943018,0.400385499,0.883318961,24.68981934,22.42367935,22.84053993,1.589228034,1.248649955,1.346552014,10.94102001,13.62203979,13.99464035,0.004910707,0.039676309,0.05858326,3,2017-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0006256558,Absolent,ABSO,Sverige,First North,Byggprodukter                                                   ,1573.619019,139,0.053030305,0.103174597,0.0859375,0.111999996,0.172995776,-0.073333338,,,24.6205101,30.42921066,37.56592941,3.824541092,4.06456995,4.130190849,43.27766037,20.07869911,330.2590027,0.007662177,0.05399847,0.041380644,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0007387022,Absolicon,ABSL,Sverige,Aktietorget,Energiproducenter                                               ,275.1279907,289,0.058608059,0.126705661,0.153692618,0.699999988,2.658227921,,,,-42.04981995,-42.04981995,,56.68067932,56.68067932,,-29.85330009,-29.85330009,,0.123869419,0.05309546,0.88106066,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SE0007897079,AcadeMedia,ACAD,Sverige,Mid Cap,Konsument                                                       ,5410.75,57.5,0.013215858,0.036036037,0.022222223,-0.02542373,0.00877193,,,,13.45973969,15.51819038,10.50918961,0.582615495,0.635825872,0.417316109,20.11430931,28.53031921,19.02021027,-0.022756517,0.01532042,-0.009061277,3,2017-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
